state_name,state_abbreviation,regional_price_parity_2024,national_price_level,price_level_difference_percent,source_vintage,source_url,calculation_note
Illinois,IL,99.958,100.0,-0.042,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Indiana,IN,93.329,100.0,-6.671,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Iowa,IA,87.762,100.0,-12.238,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Kansas,KS,90.068,100.0,-9.932,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Kentucky,KY,90.159,100.0,-9.841,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Louisiana,LA,88.207,100.0,-11.793,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Maine,ME,97.05,100.0,-2.95,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Maryland,MD,104.959,100.0,4.959,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Massachusetts,MA,105.757,100.0,5.757,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Michigan,MI,96.217,100.0,-3.783,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Minnesota,MN,98.621,100.0,-1.379,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Mississippi,MS,86.953,100.0,-13.047,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Missouri,MO,90.817,100.0,-9.183,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Montana,MT,94.645,100.0,-5.355,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Nebraska,NE,90.103,100.0,-9.897,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Nevada,NV,99.979,100.0,-0.021,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
New Hampshire,NH,104.165,100.0,4.165,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
New Jersey,NJ,108.805,100.0,8.805,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
New Mexico,NM,92.212,100.0,-7.788,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
New York,NY,107.921,100.0,7.921,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
North Carolina,NC,94.326,100.0,-5.674,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
North Dakota,ND,88.959,100.0,-11.041,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Ohio,OH,92.774,100.0,-7.226,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Oklahoma,OK,87.843,100.0,-12.157,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Oregon,OR,103.361,100.0,3.361,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Pennsylvania,PA,97.572,100.0,-2.428,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Rhode Island,RI,102.28,100.0,2.28,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
South Carolina,SC,93.749,100.0,-6.251,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
South Dakota,SD,88.586,100.0,-11.414,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Tennessee,TN,91.87,100.0,-8.13,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Texas,TX,97.057,100.0,-2.943,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Utah,UT,98.864,100.0,-1.136,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Vermont,VT,97.958,100.0,-2.042,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Virginia,VA,101.104,100.0,1.104,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Washington,WA,107.013,100.0,7.013,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
West Virginia,WV,89.497,100.0,-10.503,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Wisconsin,WI,94.095,100.0,-5.905,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
Wyoming,WY,92.691,100.0,-7.309,"BEA Regional Price Parities 2024, released February 2026",https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,Purchasing-power wage = nominal wage * 100 / regional price parity.
