soc_code,onet_soc_code,occupation_title,task,task_type,source_date,rank
11-1021,11-1021.00,General and Operations Managers,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,08/2023,10
11-1021,11-1021.00,General and Operations Managers,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,08/2023,11
11-1021,11-1021.00,General and Operations Managers,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,08/2023,12
11-1031,11-1031.00,Legislators,Analyze and understand the local and national implications of proposed legislation.,,06/2006,1
11-1031,11-1031.00,Legislators,"Appoint nominees to leadership posts, or approve such appointments.",,06/2006,2
11-1031,11-1031.00,Legislators,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,,06/2006,3
11-1031,11-1031.00,Legislators,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,06/2006,4
11-1031,11-1031.00,Legislators,Develop expertise in subject matters related to committee assignments.,,06/2006,5
11-1031,11-1031.00,Legislators,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,06/2006,6
11-1031,11-1031.00,Legislators,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,06/2006,7
11-1031,11-1031.00,Legislators,Maintain knowledge of relevant national and international current events.,,06/2006,8
11-1031,11-1031.00,Legislators,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,06/2006,9
11-1031,11-1031.00,Legislators,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,06/2006,10
11-1031,11-1031.00,Legislators,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,06/2006,11
11-1031,11-1031.00,Legislators,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,,06/2006,12
11-2011,11-2011.00,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,Core,08/2018,1
11-2011,11-2011.00,Advertising and Promotions Managers,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,08/2018,2
11-2011,11-2011.00,Advertising and Promotions Managers,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,08/2018,3
11-2011,11-2011.00,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,08/2018,4
11-2011,11-2011.00,Advertising and Promotions Managers,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,08/2018,5
11-2011,11-2011.00,Advertising and Promotions Managers,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,08/2018,6
11-2011,11-2011.00,Advertising and Promotions Managers,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,08/2018,7
11-2011,11-2011.00,Advertising and Promotions Managers,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,08/2018,8
11-2011,11-2011.00,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,08/2018,9
11-2011,11-2011.00,Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,08/2018,10
11-2011,11-2011.00,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,08/2018,11
11-2011,11-2011.00,Advertising and Promotions Managers,Plan and execute advertising policies and strategies for organizations.,Core,08/2018,12
11-2021,11-2021.00,Marketing Managers,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,07/2015,1
11-2021,11-2021.00,Marketing Managers,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,07/2015,2
11-2021,11-2021.00,Marketing Managers,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,07/2015,3
11-2021,11-2021.00,Marketing Managers,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,07/2015,4
11-2021,11-2021.00,Marketing Managers,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,07/2015,5
11-2021,11-2021.00,Marketing Managers,Compile lists describing product or service offerings.,Core,07/2015,6
11-2021,11-2021.00,Marketing Managers,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,07/2015,7
11-2021,11-2021.00,Marketing Managers,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,07/2015,8
11-2021,11-2021.00,Marketing Managers,"Initiate market research studies, or analyze their findings.",Core,07/2015,9
11-2021,11-2021.00,Marketing Managers,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,07/2015,10
11-2021,11-2021.00,Marketing Managers,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,07/2015,11
11-2021,11-2021.00,Marketing Managers,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Core,07/2015,12
11-2022,11-2022.00,Sales Managers,Resolve customer complaints regarding sales and service.,Core,08/2025,1
11-2022,11-2022.00,Sales Managers,Monitor customer preferences to determine focus of sales efforts.,Core,08/2025,2
11-2022,11-2022.00,Sales Managers,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",Core,08/2025,3
11-2022,11-2022.00,Sales Managers,Determine price schedules and discount rates.,Core,08/2025,4
11-2022,11-2022.00,Sales Managers,Review operational records and reports to project sales and determine profitability.,Core,08/2025,5
11-2022,11-2022.00,Sales Managers,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",Core,08/2025,6
11-2022,11-2022.00,Sales Managers,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,08/2025,7
11-2022,11-2022.00,Sales Managers,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Core,08/2025,8
11-2022,11-2022.00,Sales Managers,Prepare budgets and approve budget expenditures.,Core,08/2025,9
11-2022,11-2022.00,Sales Managers,Represent company at trade association meetings to promote products.,Core,08/2025,10
11-2022,11-2022.00,Sales Managers,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,08/2025,11
11-2022,11-2022.00,Sales Managers,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Core,08/2025,12
11-2032,11-2032.00,Public Relations Managers,"Assign, supervise, and review the activities of public relations staff.",,11/2020,1
11-2032,11-2032.00,Public Relations Managers,Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,,11/2020,2
11-2032,11-2032.00,Public Relations Managers,"Design and edit promotional publications, such as brochures.",,11/2020,3
11-2032,11-2032.00,Public Relations Managers,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",,11/2020,4
11-2032,11-2032.00,Public Relations Managers,"Develop, implement, or maintain crisis communication plans.",,11/2020,5
11-2032,11-2032.00,Public Relations Managers,"Direct activities of external agencies, establishments, or departments that develop and implement communication strategies and information programs.",,11/2020,6
11-2032,11-2032.00,Public Relations Managers,Draft speeches for company executives and arrange interviews and other forms of contact for them.,,11/2020,7
11-2032,11-2032.00,Public Relations Managers,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",,11/2020,8
11-2032,11-2032.00,Public Relations Managers,Evaluate advertising and promotion programs for compatibility with public relations efforts.,,11/2020,9
11-2032,11-2032.00,Public Relations Managers,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",,11/2020,10
11-2032,11-2032.00,Public Relations Managers,"Formulate policies and procedures related to public information programs, working with public relations executives.",,11/2020,11
11-2032,11-2032.00,Public Relations Managers,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",,11/2020,12
11-2033,11-2033.00,Fundraising Managers,Compile or develop materials to submit to granting or other funding organizations.,Core,08/2025,1
11-2033,11-2033.00,Fundraising Managers,Develop strategies to encourage new or increased contributions.,Core,08/2025,2
11-2033,11-2033.00,Fundraising Managers,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",Core,08/2025,3
11-2033,11-2033.00,Fundraising Managers,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",Core,08/2025,4
11-2033,11-2033.00,Fundraising Managers,"Assign, supervise, and review the activities of fundraising staff.",Core,08/2025,5
11-2033,11-2033.00,Fundraising Managers,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",Core,08/2025,6
11-2033,11-2033.00,Fundraising Managers,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",Core,08/2025,7
11-2033,11-2033.00,Fundraising Managers,"Design and edit promotional publications, such as brochures.",Core,08/2025,8
11-2033,11-2033.00,Fundraising Managers,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,Core,08/2025,9
11-2033,11-2033.00,Fundraising Managers,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",Core,08/2025,10
11-2033,11-2033.00,Fundraising Managers,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",Core,08/2025,11
11-2033,11-2033.00,Fundraising Managers,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,Core,08/2025,12
11-3012,11-3012.00,Administrative Services Managers,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,07/2017,1
11-3012,11-3012.00,Administrative Services Managers,Conduct classes to teach procedures to staff.,Core,07/2017,2
11-3012,11-3012.00,Administrative Services Managers,Set goals and deadlines for the department.,Core,07/2017,3
11-3012,11-3012.00,Administrative Services Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,07/2017,4
11-3012,11-3012.00,Administrative Services Managers,"Acquire, distribute and store supplies.",Core,07/2017,5
11-3012,11-3012.00,Administrative Services Managers,"Direct or coordinate the supportive services department of a business, agency, or organization.",Supplemental,07/2017,6
11-3012,11-3012.00,Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,07/2017,7
11-3012,11-3012.00,Administrative Services Managers,Hire and terminate clerical and administrative personnel.,Supplemental,07/2017,8
11-3012,11-3012.00,Administrative Services Managers,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.",,11/2020,9
11-3012,11-3012.00,Administrative Services Managers,Develop operational standards and procedures for the work unit or department.,,11/2020,10
11-3012,11-3012.00,Administrative Services Managers,Establish work procedures or schedules to organize the daily work of administrative staff.,,11/2020,11
11-3012,11-3012.00,Administrative Services Managers,Learn to operate new office technologies as they are developed and implemented.,,11/2020,12
11-3013,11-3013.00,Facilities Managers,"Acquire, distribute and store supplies.",Core,08/2024,1
11-3013,11-3013.00,Facilities Managers,"Dispose of, or oversee the disposal of, surplus or unclaimed property.",Core,08/2024,2
11-3013,11-3013.00,Facilities Managers,Conduct classes to teach procedures to staff.,Core,08/2024,3
11-3013,11-3013.00,Facilities Managers,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",Core,08/2024,4
11-3013,11-3013.00,Facilities Managers,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",Core,08/2024,5
11-3013,11-3013.00,Facilities Managers,Set goals and deadlines for the department.,Core,08/2024,6
11-3013,11-3013.00,Facilities Managers,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",Core,08/2024,7
11-3013,11-3013.00,Facilities Managers,"Participate in architectural and engineering planning and design, including space and installation management.",Core,08/2024,8
11-3013,11-3013.00,Facilities Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Core,08/2024,9
11-3013,11-3013.00,Facilities Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,08/2024,10
11-3013,11-3013.01,Security Managers,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",Core,08/2025,11
11-3013,11-3013.01,Security Managers,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,Core,08/2025,12
11-3021,11-3021.00,Computer and Information Systems Managers,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Core,07/2016,1
11-3021,11-3021.00,Computer and Information Systems Managers,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,07/2016,2
11-3021,11-3021.00,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,07/2016,3
11-3021,11-3021.00,Computer and Information Systems Managers,Stay abreast of advances in technology.,Core,07/2016,4
11-3021,11-3021.00,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,07/2016,5
11-3021,11-3021.00,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,Core,07/2016,6
11-3021,11-3021.00,Computer and Information Systems Managers,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,07/2016,7
11-3021,11-3021.00,Computer and Information Systems Managers,Control operational budget and expenditures.,Core,07/2016,8
11-3021,11-3021.00,Computer and Information Systems Managers,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,07/2016,9
11-3021,11-3021.00,Computer and Information Systems Managers,"Develop and interpret organizational goals, policies, and procedures.",Core,07/2016,10
11-3021,11-3021.00,Computer and Information Systems Managers,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,07/2016,11
11-3021,11-3021.00,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,Core,07/2016,12
11-3031,11-3031.03,Investment Fund Managers,Prepare for and respond to regulatory inquiries.,Core,07/2014,1
11-3031,11-3031.03,Investment Fund Managers,Hire or evaluate staff.,Core,07/2014,2
11-3031,11-3031.03,Investment Fund Managers,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Core,07/2014,3
11-3031,11-3031.03,Investment Fund Managers,"Present investment information, such as product risks, fees, or fund performance statistics.",Core,07/2014,4
11-3031,11-3031.03,Investment Fund Managers,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,Core,07/2014,5
11-3031,11-3031.03,Investment Fund Managers,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,Core,07/2014,6
11-3031,11-3031.03,Investment Fund Managers,Meet with investors to determine investment goals or to discuss investment strategies.,Core,07/2014,7
11-3031,11-3031.03,Investment Fund Managers,Develop or direct development of offering documents or marketing materials.,Core,07/2014,8
11-3031,11-3031.03,Investment Fund Managers,"Evaluate the potential of new product developments or market opportunities, according to factors such as business plans, technologies, or market potential.",Core,07/2014,9
11-3031,11-3031.03,Investment Fund Managers,Develop or implement fund investment policies or strategies.,Core,07/2014,10
11-3031,11-3031.03,Investment Fund Managers,Select or direct the execution of trades.,Core,07/2014,11
11-3031,11-3031.03,Investment Fund Managers,Manage investment funds to maximize return on client investments.,Core,07/2014,12
11-3051,11-3051.00,Industrial Production Managers,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",Core,08/2021,1
11-3051,11-3051.00,Industrial Production Managers,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",Core,08/2021,2
11-3051,11-3051.00,Industrial Production Managers,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Core,08/2021,3
11-3051,11-3051.00,Industrial Production Managers,Review operations and confer with technical or administrative staff to resolve production or processing problems.,Core,08/2021,4
11-3051,11-3051.00,Industrial Production Managers,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",Core,08/2021,5
11-3051,11-3051.00,Industrial Production Managers,Initiate or coordinate inventory or cost control programs.,Core,08/2021,6
11-3051,11-3051.00,Industrial Production Managers,Prepare and maintain production reports or personnel records.,Core,08/2021,7
11-3051,11-3051.00,Industrial Production Managers,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",Core,08/2021,8
11-3051,11-3051.00,Industrial Production Managers,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",Core,08/2021,9
11-3051,11-3051.00,Industrial Production Managers,Review plans and confer with research or support staff to develop new products or processes.,Core,08/2021,10
11-3051,11-3051.00,Industrial Production Managers,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Core,08/2021,11
11-3051,11-3051.00,Industrial Production Managers,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",Core,08/2021,12
11-3061,11-3061.00,Purchasing Managers,Maintain records of goods ordered and received.,Core,08/2023,1
11-3061,11-3061.00,Purchasing Managers,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Core,08/2023,2
11-3061,11-3061.00,Purchasing Managers,Prepare and process requisitions and purchase orders for supplies and equipment.,Core,08/2023,3
11-3061,11-3061.00,Purchasing Managers,Control purchasing department budgets.,Core,08/2023,4
11-3061,11-3061.00,Purchasing Managers,"Interview and hire staff, and oversee staff training.",Core,08/2023,5
11-3061,11-3061.00,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.,Core,08/2023,6
11-3061,11-3061.00,Purchasing Managers,Analyze market and delivery systems to assess present and future material availability.,Core,08/2023,7
11-3061,11-3061.00,Purchasing Managers,"Develop and implement purchasing and contract management instructions, policies, and procedures.",Core,08/2023,8
11-3061,11-3061.00,Purchasing Managers,"Participate in the development of specifications for equipment, products, or substitute materials.",Core,08/2023,9
11-3061,11-3061.00,Purchasing Managers,Resolve vendor or contractor grievances and claims against suppliers.,Core,08/2023,10
11-3061,11-3061.00,Purchasing Managers,Represent companies in negotiating contracts and formulating policies with suppliers.,Core,08/2023,11
11-3061,11-3061.00,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids.",Core,08/2023,12
11-3071,11-3071.04,Supply Chain Managers,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,Core,07/2017,1
11-3071,11-3071.04,Supply Chain Managers,Diagram supply chain models to help facilitate discussions with customers.,Core,07/2017,2
11-3071,11-3071.04,Supply Chain Managers,"Negotiate prices and terms with suppliers, vendors, or freight forwarders.",Core,07/2017,3
11-3071,11-3071.04,Supply Chain Managers,"Meet with suppliers to discuss performance metrics, to provide performance feedback, or to discuss production forecasts or changes.",Core,07/2017,4
11-3071,11-3071.04,Supply Chain Managers,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Core,07/2017,5
11-3071,11-3071.04,Supply Chain Managers,Develop or implement procedures or systems to evaluate or select suppliers.,Core,07/2017,6
11-3071,11-3071.04,Supply Chain Managers,Design or implement plant warehousing strategies for production materials or finished products.,Core,07/2017,7
11-3071,11-3071.04,Supply Chain Managers,Confer with supply chain planners to forecast demand or create supply plans that ensure availability of materials or products.,Core,07/2017,8
11-3071,11-3071.04,Supply Chain Managers,"Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality.",Core,07/2017,9
11-3071,11-3071.04,Supply Chain Managers,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Core,07/2017,10
11-3071,11-3071.04,Supply Chain Managers,Analyze information about supplier performance or procurement program success.,Core,07/2017,11
11-3071,11-3071.04,Supply Chain Managers,"Participate in the coordination of engineering changes, product line extensions, or new product launches to ensure orderly and timely transitions in material or production flow.",Core,07/2017,12
11-3111,11-3111.00,Compensation and Benefits Managers,"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",Core,08/2023,1
11-3111,11-3111.00,Compensation and Benefits Managers,"Administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions.",Core,08/2023,2
11-3111,11-3111.00,Compensation and Benefits Managers,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",Core,08/2023,3
11-3111,11-3111.00,Compensation and Benefits Managers,Identify and implement benefits to increase the quality of life for employees by working with brokers and researching benefits issues.,Core,08/2023,4
11-3111,11-3111.00,Compensation and Benefits Managers,"Design, evaluate, and modify benefits policies to ensure that programs are current, competitive, and in compliance with legal requirements.",Core,08/2023,5
11-3111,11-3111.00,Compensation and Benefits Managers,"Analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",Core,08/2023,6
11-3111,11-3111.00,Compensation and Benefits Managers,"Formulate policies, procedures and programs for recruitment, testing, placement, classification, orientation, benefits and compensation, and labor and industrial relations.",Core,08/2023,7
11-3111,11-3111.00,Compensation and Benefits Managers,"Mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions.",Core,08/2023,8
11-3111,11-3111.00,Compensation and Benefits Managers,"Fulfill all reporting requirements of all relevant government rules and regulations, including the Employee Retirement Income Security Act (ERISA).",Core,08/2023,9
11-3111,11-3111.00,Compensation and Benefits Managers,"Develop methods to improve employment policies, processes, and practices, and recommend changes to management.",Core,08/2023,10
11-3111,11-3111.00,Compensation and Benefits Managers,"Prepare detailed job descriptions and classification systems and define job levels and families, in partnership with other managers.",Core,08/2023,11
11-3111,11-3111.00,Compensation and Benefits Managers,"Manage the design and development of tools to assist employees in benefits selection, and to guide managers through compensation decisions.",Core,08/2023,12
11-3121,11-3121.00,Human Resources Managers,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Core,08/2025,1
11-3121,11-3121.00,Human Resources Managers,"Identify staff vacancies and recruit, interview, and select applicants.",Core,08/2025,2
11-3121,11-3121.00,Human Resources Managers,"Allocate human resources, ensuring appropriate matches between personnel.",Core,08/2025,3
11-3121,11-3121.00,Human Resources Managers,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",Core,08/2025,4
11-3121,11-3121.00,Human Resources Managers,"Perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures.",Core,08/2025,5
11-3121,11-3121.00,Human Resources Managers,"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes.",Core,08/2025,6
11-3121,11-3121.00,Human Resources Managers,Plan and conduct new employee orientation to foster positive attitude toward organizational objectives.,Core,08/2025,7
11-3121,11-3121.00,Human Resources Managers,"Serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems.",Core,08/2025,8
11-3121,11-3121.00,Human Resources Managers,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",Core,08/2025,9
11-3121,11-3121.00,Human Resources Managers,"Analyze training needs to design employee development, language training, and health and safety programs.",Core,08/2025,10
11-3121,11-3121.00,Human Resources Managers,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Core,08/2025,11
11-3121,11-3121.00,Human Resources Managers,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Core,08/2025,12
11-3131,11-3131.00,Training and Development Managers,Conduct orientation sessions and arrange on-the-job training for new hires.,Core,08/2024,1
11-3131,11-3131.00,Training and Development Managers,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Core,08/2024,2
11-3131,11-3131.00,Training and Development Managers,Develop testing and evaluation procedures.,Core,08/2024,3
11-3131,11-3131.00,Training and Development Managers,Conduct or arrange for ongoing technical training and personal development classes for staff members.,Core,08/2024,4
11-3131,11-3131.00,Training and Development Managers,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",Core,08/2024,5
11-3131,11-3131.00,Training and Development Managers,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Core,08/2024,6
11-3131,11-3131.00,Training and Development Managers,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",Core,08/2024,7
11-3131,11-3131.00,Training and Development Managers,Analyze training needs to develop new training programs or modify and improve existing programs.,Core,08/2024,8
11-3131,11-3131.00,Training and Development Managers,Train instructors and supervisors in techniques and skills for training and dealing with employees.,Core,08/2024,9
11-3131,11-3131.00,Training and Development Managers,Prepare training budget for department or organization.,Core,08/2024,10
11-3131,11-3131.00,Training and Development Managers,Review and evaluate training and apprenticeship programs for compliance with government standards.,Core,08/2024,11
11-3131,11-3131.00,Training and Development Managers,"Coordinate established courses with technical and professional courses provided by community schools, and designate training procedures.",Supplemental,08/2024,12
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Collect and record growth, production, and environmental data.",Core,11/2020,1
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Manage nurseries that grow horticultural plants for sale to trade or retail customers, for display or exhibition, or for research.",Core,11/2020,2
11-9013,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Direct and monitor trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.",Core,11/2020,3
