soc_code,onet_soc_code,occupation_title,knowledge_area,importance,source_date,rank
11-9041,11-9041.00,Architectural and Engineering Managers,Computers and Electronics,3.38,08/2020,13
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Computers and Electronics,3.25,07/2014,14
11-9041,11-9041.00,Architectural and Engineering Managers,Production and Processing,3.21,08/2020,15
11-9051,11-9051.00,Food Service Managers,Customer and Personal Service,4.53,08/2025,1
11-9051,11-9051.00,Food Service Managers,Administration and Management,4.07,08/2025,2
11-9051,11-9051.00,Food Service Managers,Food Production,3.95,08/2025,3
11-9051,11-9051.00,Food Service Managers,English Language,3.53,08/2025,4
11-9051,11-9051.00,Food Service Managers,Personnel and Human Resources,3.49,08/2025,5
11-9051,11-9051.00,Food Service Managers,Sales and Marketing,3.44,08/2025,6
11-9051,11-9051.00,Food Service Managers,Mathematics,3.39,08/2025,7
11-9051,11-9051.00,Food Service Managers,Administrative,3.28,08/2025,8
11-9051,11-9051.00,Food Service Managers,Production and Processing,3.21,08/2025,9
11-9051,11-9051.00,Food Service Managers,Education and Training,3.15,08/2025,10
11-9051,11-9051.00,Food Service Managers,Economics and Accounting,3.04,08/2025,11
11-9051,11-9051.00,Food Service Managers,Computers and Electronics,2.86,08/2025,12
11-9051,11-9051.00,Food Service Managers,Public Safety and Security,2.84,08/2025,13
11-9051,11-9051.00,Food Service Managers,Transportation,2.24,08/2025,14
11-9051,11-9051.00,Food Service Managers,Communications and Media,2.23,08/2025,15
11-9071,11-9071.00,Gambling Managers,Customer and Personal Service,4.29,08/2023,1
11-9071,11-9071.00,Gambling Managers,English Language,4.16,08/2023,2
11-9071,11-9071.00,Gambling Managers,Administration and Management,4.15,08/2023,3
11-9071,11-9071.00,Gambling Managers,Mathematics,4.15,08/2023,4
11-9071,11-9071.00,Gambling Managers,Personnel and Human Resources,4.01,08/2023,5
11-9071,11-9071.00,Gambling Managers,Administrative,3.76,08/2023,6
11-9071,11-9071.00,Gambling Managers,Computers and Electronics,3.53,08/2023,7
11-9071,11-9071.00,Gambling Managers,Economics and Accounting,3.51,08/2023,8
11-9071,11-9071.00,Gambling Managers,Education and Training,3.44,08/2023,9
11-9071,11-9071.00,Gambling Managers,Public Safety and Security,3.36,08/2023,10
11-9071,11-9071.00,Gambling Managers,Law and Government,3.01,08/2023,11
11-9071,11-9071.00,Gambling Managers,Psychology,3.0,08/2023,12
11-9071,11-9071.00,Gambling Managers,Sales and Marketing,2.98,08/2023,13
11-9071,11-9071.00,Gambling Managers,Communications and Media,2.71,08/2023,14
11-9071,11-9071.00,Gambling Managers,Engineering and Technology,2.18,08/2023,15
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Customer and Personal Service,4.55,08/2025,1
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Education and Training,4.3,08/2025,2
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",English Language,3.87,08/2025,3
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Administration and Management,3.67,08/2025,4
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Computers and Electronics,3.56,08/2025,5
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Public Safety and Security,3.45,08/2025,6
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Personnel and Human Resources,3.43,08/2025,7
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Administrative,3.35,08/2025,8
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Mathematics,3.22,08/2025,9
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Sociology and Anthropology,3.18,08/2025,10
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Psychology,3.14,08/2025,11
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Communications and Media,3.1,08/2025,12
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Sales and Marketing,3.06,08/2025,13
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Production and Processing,2.89,08/2025,14
11-9072,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Geography,2.75,08/2025,15
11-9081,11-9081.00,Lodging Managers,English Language,4.72,07/2017,1
11-9081,11-9081.00,Lodging Managers,Administration and Management,4.7,07/2017,2
11-9081,11-9081.00,Lodging Managers,Personnel and Human Resources,4.64,07/2017,3
11-9081,11-9081.00,Lodging Managers,Customer and Personal Service,4.55,07/2017,4
11-9081,11-9081.00,Lodging Managers,Mathematics,4.33,07/2017,5
11-9081,11-9081.00,Lodging Managers,Sales and Marketing,4.25,07/2017,6
11-9081,11-9081.00,Lodging Managers,Administrative,4.12,07/2017,7
11-9081,11-9081.00,Lodging Managers,Computers and Electronics,4.1,07/2017,8
11-9081,11-9081.00,Lodging Managers,Economics and Accounting,3.99,07/2017,9
11-9081,11-9081.00,Lodging Managers,Public Safety and Security,3.96,07/2017,10
11-9081,11-9081.00,Lodging Managers,Education and Training,3.68,07/2017,11
11-9081,11-9081.00,Lodging Managers,Communications and Media,3.63,07/2017,12
11-9081,11-9081.00,Lodging Managers,Psychology,3.35,07/2017,13
11-9081,11-9081.00,Lodging Managers,Telecommunications,2.94,07/2017,14
11-9081,11-9081.00,Lodging Managers,Sociology and Anthropology,2.89,07/2017,15
11-9121,11-9121.01,Clinical Research Coordinators,Customer and Personal Service,4.27,08/2021,1
11-9121,11-9121.00,Natural Sciences Managers,Biology,4.03,08/2021,2
11-9121,11-9121.00,Natural Sciences Managers,English Language,3.99,08/2021,3
11-9121,11-9121.00,Natural Sciences Managers,Administration and Management,3.82,08/2021,4
11-9121,11-9121.01,Clinical Research Coordinators,English Language,3.77,08/2021,5
11-9121,11-9121.01,Clinical Research Coordinators,Administrative,3.73,08/2021,6
11-9121,11-9121.00,Natural Sciences Managers,Computers and Electronics,3.66,08/2021,7
11-9121,11-9121.00,Natural Sciences Managers,Administrative,3.57,08/2021,8
11-9121,11-9121.00,Natural Sciences Managers,Chemistry,3.5,08/2021,9
11-9121,11-9121.00,Natural Sciences Managers,Mathematics,3.48,08/2021,10
11-9121,11-9121.00,Natural Sciences Managers,Personnel and Human Resources,3.26,08/2021,11
11-9121,11-9121.01,Clinical Research Coordinators,Medicine and Dentistry,3.24,08/2021,12
11-9121,11-9121.00,Natural Sciences Managers,Customer and Personal Service,3.14,08/2021,13
11-9121,11-9121.01,Clinical Research Coordinators,Administration and Management,2.97,08/2021,14
11-9121,11-9121.01,Clinical Research Coordinators,Biology,2.96,08/2021,15
11-9131,11-9131.00,Postmasters and Mail Superintendents,Administration and Management,4.42,07/2016,1
11-9131,11-9131.00,Postmasters and Mail Superintendents,Public Safety and Security,4.2,07/2016,2
11-9131,11-9131.00,Postmasters and Mail Superintendents,English Language,4.08,07/2016,3
11-9131,11-9131.00,Postmasters and Mail Superintendents,Production and Processing,4.03,07/2016,4
11-9131,11-9131.00,Postmasters and Mail Superintendents,Customer and Personal Service,3.96,07/2016,5
11-9131,11-9131.00,Postmasters and Mail Superintendents,Education and Training,3.68,07/2016,6
